task_id,task_type,criticality,data_size_kb,deadline_ms,vehicle_speed_kmph,current_location,network_condition,edge_node_distance_km,computation_intensity_flops,cost_weight_preference,time_of_day,mobility_pattern,rule_based_alpha,context_text,llm_priority_score
147,Navigation,Low,4896,100,51,Rural,Poor,8.54,5717516332,Latency-Oriented,Off-Peak,Stable,0.07,Route recalculation needed due to traffic jam ahead. Vehicle speed: 51 km/h.,0.467
148,Diagnostics,High,1003,300,25,Rural,Fair,0.45,5261921257,Latency-Oriented,Peak,Stable,0.49,Predictive maintenance for battery while vehicle moves at 25 km/h. Network condition: Fair.,0.876
149,Infotainment,Medium,2589,50,63,Highway,Good,3.36,503300480,Latency-Oriented,Off-Peak,High-Mobility,0.03,Video playback requested while vehicle is moving in highway area. User is latency-oriented.,0.457
150,Navigation,Low,3374,800,97,Rural,Poor,9.32,2005892703,Cost-Sensitive,Off-Peak,Stable,0.06,Route recalculation needed due to road closure ahead. Vehicle speed: 97 km/h.,0.412
151,Safety,Medium,3351,300,58,Rural,Good,7.38,8123609860,Cost-Sensitive,Peak,High-Mobility,0.91,Emergency braking needed at 58 km/h in rural area during peak time. Network: good.,0.764
152,Safety,Low,1592,500,55,Urban,Congested,2.89,9450787157,Latency-Oriented,Peak,High-Mobility,0.14,Emergency lane change needed at 55 km/h in urban area during peak time. Network: congested.,0.763
153,Safety,Medium,1241,800,58,Rural,Excellent,2.6,3699677750,Cost-Sensitive,Peak,Stable,0.53,Emergency collision avoidance needed at 58 km/h in rural area during peak time. Network: excellent.,0.765
154,Safety,High,3043,800,108,Highway,Good,0.15,6530316657,Balanced,Peak,Stable,0.41,Emergency collision avoidance needed at 108 km/h in highway area during peak time. Network: good.,0.925
155,Diagnostics,High,2731,200,69,Highway,Excellent,6.99,7048600976,Balanced,Off-Peak,High-Mobility,0.35,Predictive maintenance for battery while vehicle moves at 69 km/h. Network condition: Excellent.,0.874
156,Safety,Medium,1267,50,100,Highway,Poor,0.58,8126885767,Balanced,Off-Peak,High-Mobility,0.9,Emergency collision avoidance needed at 100 km/h in highway area during off-peak time. Network: poor.,0.85
157,Navigation,Low,1590,50,32,Highway,Excellent,5.37,230511435,Latency-Oriented,Off-Peak,High-Mobility,0.02,Route recalculation needed due to road closure ahead. Vehicle speed: 32 km/h.,0.456
158,V2X Communication,High,3286,1000,52,Rural,Good,9.63,3061494829,Cost-Sensitive,Peak,Stable,0.66,Vehicle-to-infrastructure alert for speed limit in Rural area. Network: Good.,0.678
159,Safety,High,2436,1000,21,Rural,Congested,1.18,1026317714,Latency-Oriented,Peak,High-Mobility,0.96,Emergency lane change needed at 21 km/h in rural area during peak time. Network: congested.,0.654
160,Diagnostics,High,3769,1000,20,Highway,Poor,8.96,6086602036,Cost-Sensitive,Peak,Stable,0.56,Predictive maintenance for brakes while vehicle moves at 20 km/h. Network condition: Poor.,0.356
161,Diagnostics,Medium,1438,1000,69,Highway,Good,9.92,557813593,Balanced,Off-Peak,Stable,0.94,Predictive maintenance for engine while vehicle moves at 69 km/h. Network condition: Good.,0.456
162,Safety,Medium,1906,500,69,Rural,Poor,0.71,7220391387,Latency-Oriented,Peak,Stable,0.05,Emergency lane change needed at 69 km/h in rural area during peak time. Network: poor.,0.753
163,V2X Communication,Low,1415,500,118,Highway,Fair,8.84,8687416561,Cost-Sensitive,Off-Peak,High-Mobility,0.42,Vehicle-to-pedestrian alert for intersection in Highway area. Network: Fair.,0.675
164,Safety,Low,549,800,111,Urban,Excellent,5.21,1847656360,Cost-Sensitive,Peak,Stable,0.26,Emergency lane change needed at 111 km/h in urban area during peak time. Network: excellent.,0.456
165,Diagnostics,Low,1730,100,3,Highway,Fair,9.07,3839857583,Balanced,Off-Peak,Stable,0.73,Predictive maintenance for battery while vehicle moves at 3 km/h. Network condition: Fair.,0.678
166,Infotainment,Medium,560,200,93,Highway,Good,5.76,3460320072,Latency-Oriented,Off-Peak,Stable,0.98,Video playback requested while vehicle is moving in highway area. User is latency-oriented.,0.456
167,Navigation,Medium,4362,200,74,Urban,Congested,6.65,2535316300,Latency-Oriented,Peak,Stable,0.26,Route recalculation needed due to road closure ahead. Vehicle speed: 74 km/h.,0.652
168,Diagnostics,Low,1374,1000,61,Urban,Poor,5.48,6130736764,Latency-Oriented,Peak,Stable,0.65,Predictive maintenance for engine while vehicle moves at 61 km/h. Network condition: Poor.,0.457
169,Safety,Low,1205,800,61,Rural,Excellent,8.66,5799564013,Balanced,Off-Peak,High-Mobility,0.2,Emergency braking needed at 61 km/h in rural area during off-peak time. Network: excellent.,0.589
170,Navigation,Medium,1877,300,93,Rural,Poor,7.37,7668957009,Latency-Oriented,Off-Peak,Stable,0.57,Route recalculation needed due to accident ahead. Vehicle speed: 93 km/h.,0.685
171,Safety,Low,3191,100,94,Urban,Good,5.26,3526583528,Balanced,Peak,Stable,0.46,Emergency lane change needed at 94 km/h in urban area during peak time. Network: good.,0.756
172,Safety,High,3536,800,23,Urban,Poor,8.69,3612571210,Balanced,Peak,High-Mobility,0.97,Emergency lane change needed at 23 km/h in urban area during peak time. Network: poor.,0.756
173,Infotainment,Medium,1860,100,54,Rural,Excellent,2.53,616293975,Balanced,Off-Peak,Stable,0.61,Social media update requested while vehicle is moving in rural area. User is balanced.,0.678
174,Navigation,Low,2973,100,8,Highway,Good,1.66,6733530165,Cost-Sensitive,Peak,High-Mobility,0.35,Route recalculation needed due to accident ahead. Vehicle speed: 8 km/h.,0.567
175,Navigation,Medium,2264,100,118,Urban,Poor,1.69,8714667864,Latency-Oriented,Off-Peak,Stable,0.11,Route recalculation needed due to traffic jam ahead. Vehicle speed: 118 km/h.,0.756
176,Infotainment,High,4236,800,2,Rural,Congested,3.41,1494085518,Latency-Oriented,Off-Peak,High-Mobility,0.15,Social media update requested while vehicle is stationary in rural area. User is latency-oriented.,0.456
177,Diagnostics,Medium,763,1000,114,Highway,Good,2.46,1673940299,Balanced,Peak,High-Mobility,0.23,Predictive maintenance for brakes while vehicle moves at 114 km/h. Network condition: Good.,0.753
178,Safety,Medium,3652,200,30,Urban,Good,9.31,6096516038,Balanced,Peak,Stable,0.25,Emergency collision avoidance needed at 30 km/h in urban area during peak time. Network: good.,0.754
179,V2X Communication,Medium,4184,200,39,Highway,Congested,1.15,2027124440,Latency-Oriented,Peak,Stable,0.85,Vehicle-to-pedestrian alert for speed limit in Highway area. Network: Congested.,0.75
180,Safety,Medium,3572,1000,100,Rural,Fair,7.02,1120244272,Balanced,Peak,Stable,0.56,Emergency collision avoidance needed at 100 km/h in rural area during peak time. Network: fair.,0.753
181,Safety,High,4318,100,35,Urban,Excellent,1.97,9666050219,Latency-Oriented,Peak,High-Mobility,0.52,Emergency braking needed at 35 km/h in urban area during peak time. Network: excellent.,0.962
182,Diagnostics,Medium,4798,300,23,Highway,Fair,8.83,4709341401,Cost-Sensitive,Off-Peak,High-Mobility,0.11,Predictive maintenance for engine while vehicle moves at 23 km/h. Network condition: Fair.,0.678
183,Safety,Medium,4899,50,94,Urban,Poor,9.62,7055658057,Balanced,Off-Peak,High-Mobility,0.86,Emergency collision avoidance needed at 94 km/h in urban area during off-peak time. Network: poor.,0.856
184,Infotainment,Low,1293,800,5,Highway,Congested,4.71,6385659053,Latency-Oriented,Peak,Stable,0.72,Video playback requested while vehicle is stationary in highway area. User is latency-oriented.,0.278
185,Infotainment,Medium,3759,50,65,Rural,Fair,8.8,1731167490,Balanced,Peak,High-Mobility,0.07,Social media update requested while vehicle is moving in rural area. User is balanced.,0.478
186,Navigation,Low,1131,1000,83,Rural,Good,0.15,3807989785,Latency-Oriented,Peak,High-Mobility,0.71,Route recalculation needed due to traffic jam ahead. Vehicle speed: 83 km/h.,0.456
187,V2X Communication,High,505,300,91,Urban,Poor,8.22,6453037765,Latency-Oriented,Off-Peak,Stable,0.54,Vehicle-to-pedestrian alert for intersection in Urban area. Network: Poor.,0.857
188,Safety,High,4974,800,74,Highway,Poor,2.36,1565648281,Balanced,Peak,High-Mobility,0.08,Emergency braking needed at 74 km/h in highway area during peak time. Network: poor.,0.856
189,Safety,High,944,1000,3,Urban,Fair,9.1,1732927755,Cost-Sensitive,Peak,High-Mobility,0.46,Emergency collision avoidance needed at 3 km/h in urban area during peak time. Network: fair.,0.658
190,Diagnostics,High,1434,100,78,Urban,Fair,0.11,1812930785,Latency-Oriented,Off-Peak,Stable,0.48,Predictive maintenance for battery while vehicle moves at 78 km/h. Network condition: Fair.,0.925
191,Infotainment,Low,2008,200,5,Highway,Congested,5.61,7479282417,Latency-Oriented,Off-Peak,High-Mobility,0.17,Video playback requested while vehicle is stationary in highway area. User is latency-oriented.,0.267
192,V2X Communication,Medium,3122,50,117,Highway,Excellent,7.59,8768242924,Latency-Oriented,Peak,Stable,0.95,Vehicle-to-infrastructure alert for hazard in Highway area. Network: Excellent.,0.956
193,Navigation,High,2046,500,112,Highway,Fair,2.66,940860054,Cost-Sensitive,Peak,Stable,0.85,Route recalculation needed due to traffic jam ahead. Vehicle speed: 112 km/h.,0.756
194,Infotainment,Medium,4335,500,93,Rural,Fair,2.01,8722416886,Cost-Sensitive,Peak,Stable,0.67,Music streaming requested while vehicle is moving in rural area. User is cost-sensitive.,0.456
195,Navigation,Low,554,300,119,Urban,Good,0.93,3957011835,Balanced,Off-Peak,Stable,0.46,Route recalculation needed due to accident ahead. Vehicle speed: 119 km/h.,0.678
196,Diagnostics,Low,1264,100,101,Urban,Poor,3.33,9735683096,Cost-Sensitive,Peak,Stable,0.41,Predictive maintenance for engine while vehicle moves at 101 km/h. Network condition: Poor.,0.356
197,Diagnostics,Low,1581,50,50,Rural,Excellent,5.64,8948781070,Balanced,Peak,High-Mobility,0.65,Predictive maintenance for engine while vehicle moves at 50 km/h. Network condition: Excellent.,0.421
198,Safety,High,3490,100,61,Highway,Good,1.25,1610207957,Balanced,Peak,High-Mobility,0.55,Emergency braking needed at 61 km/h in highway area during peak time. Network: good.,0.95
199,V2X Communication,Medium,873,50,56,Rural,Congested,3.83,9125533729,Cost-Sensitive,Off-Peak,Stable,0.06,Vehicle-to-infrastructure alert for intersection in Rural area. Network: Congested.,0.725
200,Navigation,Medium,978,300,65,Rural,Congested,0.19,6481770620,Balanced,Off-Peak,Stable,0.51,Route recalculation needed due to traffic jam ahead. Vehicle speed: 65 km/h.,0.623
